Edge Name,Interface Name,ISP Name
"BUB461 Fayetteville, NC",GE1,Spectrum Business
"BUB461 Fayetteville, NC",GE2,CenturyLink
"BUB493 Fishers, IN",GE2,AT&T Internet Services
"BUB522 Old Bridge, NJ",GE1,Optimum Online
"BUB526 Colorado Springs, CO",GE1,Comcast Business
"BUB548 Amarillo, TX",GE1,Suddenlink Communications
"BUB549 Clarksville, IN",GE2,AT&T Internet Services
"BUB550 Wichita-E, KS",GE1,Cox Business
"BUB550 Wichita-E, KS",GE2,AT&T U-verse
"BUB559 Universal City, TX",GE2,AT&T U-verse
"BUB563 Longview, TX",GE1,Cablelynx
"BUB563 Longview, TX",GE2,AT&T U-verse
"BUB578 Midland, TX",GE1,Suddenlink Communications
"BUB579 San Antonio, TX",GE1,Spectrum Business
"BUB579 San Antonio, TX",GE2,AT&T Internet Services
"BUB585 Canton, OH",GE1,Spectrum Business
"BUB592 Sterling Heights, MI",GE1,Comcast Business
"BUB592 Sterling Heights, MI",GE2,AT&T Internet Services
"BUB593 Odessa, TX",GE1,Sparklight
"BUB608 Taylor, MI",GE2,AT&T Internet Services
"BUB612 Peoria, AZ",GE1,Cox Business
"BUB612 Peoria, AZ",GE2,CenturyLink
"BUB619 Chesapeake, VA",GE1,Cox Business
"BUB667 Wesley Chapel, FL",GE2,Frontier Communications
"BUB668 Gastonia, NC",GE2,AT&T U-verse
"BUB676 Oklahoma City-W, OK",GE1,Cox Business
"BUB678 The Colony, TX",GE2,Frontier Communications
"BUB691 Killeen, TX",GE1,Spectrum Business
"BUB694 Pensacola, FL",GE1,Cox Business
"BUB695 Brandon, FL",GE1,Spectrum Business
"BUB698 San Antonio-NW, TX",GE1,Spectrum Business
"BUB751 Evansville, IN",GE1,Spectrum Business
"BUB764 Tyler, TX",GE1,Suddenlink Communications
Cafe,GE2,Spectrum
"JAG720 Louisville, KY",GE1,Spectrum Business
"JAG747 Westport, KY",GE1,Spectrum Business
Labs - Brian's,GE1,Spectrum Business
Labs - Brian's,GE2,Time Warner Cable
Labs - SHD Bubbas,GE1,Time Warner Cable
Labs - SHD Jaggers,GE1,Spectrum Business
Labs - WAN Team,GE2,Spectrum Business
Labs - Ziosk KDS,GE1,Spectrum Business
"TR002 Gainesville, FL",GE2,AT&T U-verse
"TR005 Ashland, KY",GE2,Windstream Communications
"TR007 Myrtle Beach, SC",GE2,Horry Telephone Cooperative
"TR012 Clarksburg, WV",GE2,Frontier Communications
"TR013 Louisville #2, KY",GE2,AT&T Internet Services
"TR014 Muncie, IN",GE2,AT&T Internet Services
"TR015 Columbus, IN",GE1,Comcast Business
"TR017 Valdosta, GA",GE1,Mediacom Cable
"TR018 Elizabethtown, KY",GE2,Windstream Communications
"TR020 Milton, FL",GE1,Mediacom Cable
"TR021 Grand Junction, CO",GE1,Spectrum
"TR022 Owensboro, KY",GE2,Owensboro Municipal Utilities
"TR024 Kokomo, IN",GE2,AT&T U-verse
"TR025 Greenville, SC",GE2,AT&T Internet Services
"TR027 Anderson, IN",GE2,AT&T U-verse
"TR030 Killeen, TX",GE2,CenturyLink
"TR031 Bloomington, IN",GE2,AT&T Internet Services
"TR033 Alcoa, TN",GE1,Spectrum Business
"TR036 Sevierville, TN",GE2,AT&T Internet Services
"TR038 Texarkana, TX",GE1,Sparklight
"TR040 Abilene, TX",GE1,Suddenlink Communications
"TR041 Shively, KY",GE1,Spectrum Business
"TR041 Shively, KY",GE2,AT&T Internet Services
"TR045 Pueblo, CO",GE2,Kellin Communications
"TR046 Newnan, GA",GE2,AT&T Internet Services
"TR049 Greensburg, PA",GE2,Verizon Internet Services
"TR051 Kingsport, TN",GE1,Spectrum Business
"TR051 Kingsport, TN",GE2,CenturyLink
"TR052 Avon, IN",GE1,Spectrum
"TR052 Avon, IN",GE2,AT&T Internet Services
"TR054 Chesterfield, MI",GE2,AT&T Internet Services
"TR055 Greeley, CO",GE2,CenturyLink
"TR057 Westminster, MD",GE1,Comcast Business
"TR059 Hickory, NC",GE2,CenturyLink
"TR061 Washington, PA",GE2,Verizon Internet Services
"TR062 Boise, ID",GE1,Sparklight
"TR064 Knoxville-W, TN",GE2,AT&T U-verse
"TR065 Hamilton, OH",GE2,Cincinnati Bell
"TR066 Idaho Falls, ID",GE1,Sparklight
"TR068 Longview, TX",GE2,AT&T Internet Services
"TR070 Hagerstown, MD",GE1,Antietam Broadband
"TR071 Aurora, CO",GE2,CenturyLink
"TR073 Knoxville-E, TN",GE2,AT&T Internet Services
"TR074 Lima, OH",GE2,Sprint
"TR075 Cedar Rapids, IA",GE1,Mediacom Cable
"TR076 Taylor, MI",GE2,AT&T U-verse
"TR078 Mesa, AZ",GE1,Cox Business
"TR079 College Station, TX",GE1,Suddenlink Communications
"TR082 Gainesville, GA",GE1,Spectrum
"TR083 Arvada, CO",GE2,CenturyLink
"TR084 Mesquite, TX",GE2,AT&T Internet
"TR087 Peoria, AZ",GE1,Cox Business
"TR090 Bear, DE",GE2,Verizon Fios Business
"TR094 Tyler, TX",GE1,Suddenlink Communications
"TR095 Houston, TX",GE2,AT&T Internet
"TR097 Columbia, SC",GE2,AT&T Internet Services
"TR099 Oklahoma City-S, OK",GE1,Cox Business
"TR099 Oklahoma City-S, OK",GE2,AT&T Internet Services
"TR103 Davenport, IA",GE1,Mediacom Cable
"TR103 Davenport, IA",GE2,CenturyLink
"TR104 Orange Park, FL",GE2,AT&T Internet Services
"TR105 Two Notch, SC",GE2,AT&T Internet Services
"TR106 Fishers, IN",GE2,Metronet
"TR107 Hilliard, OH",GE2,AT&T Internet Services
"TR110 West Phoenix, AZ",GE1,Cox Business
"TR119 Methuen, MA",GE2,Verizon Fios Business
"TR120 Butler, PA",GE1,Armstrong Cable
"TR121 Milford, OH",GE2,Cincinnati Bell
"TR127 North Charleston, SC",GE2,AT&T U-verse
"TR133 Oklahoma City-N, OK",GE1,Cox Business
"TR133 Oklahoma City-N, OK",GE2,AT&T U-verse
"TR136 Roseville, MI",GE2,AT&T U-verse
"TR138 Tulsa, OK",GE1,Cox Business
"TR138 Tulsa, OK",GE2,Windstream Communications
"TR142 Denton, TX",GE1,Spectrum Business
"TR145 Conroe, TX",GE1,Suddenlink Communications
"TR145 Conroe, TX",GE2,Consolidated Communications
"TR146 Amarillo, TX",GE1,Suddenlink Communications
"TR148 Everett, MA",GE2,Verizon Internet Services
"TR149 Reynoldsburg, OH",GE2,Spectrum Business
"TR152 Lake Charles, LA",GE1,Suddenlink Communications
"TR152 Lake Charles, LA",GE2,AT&T Internet Services
"TR153 Columbus, OH",GE2,Atlantic Broadband
"TR157 Billings, MT",GE1,Spectrum Business
"TR158 Nashua, NH",GE2,Consolidated Communications
"TR160 Erie, PA",GE2,Verizon Internet Services
"TR164 Johnson City, TN",GE2,CenturyLink
"TR165 Yorktown, VA",GE1,Cox Business
"TR165 Yorktown, VA",GE2,Verizon Internet Services
"TR166 Durham, NC",GE2,Frontier Communications
"TR167 Chantilly, VA",GE1,Cox Business
"TR174 Cranston, RI",GE1,Cox Business
"TR177 Topeka, KS",GE1,Cox Business
"TR178 El Paso, TX",GE2,AT&T Internet Services
"TR179 Kirkwood, MO",GE1,Spectrum Business
"TR184 Bethlehem, PA",GE2,Verizon Internet Services
"TR185 Stow, OH",GE2,AT&T Internet Services
"TR186 Wichita, KS",GE1,Cox Business
"TR191 Greenwood, IN",GE2,AT&T U-verse
"TR194 Lafayette, LA",GE1,Cox Business
"TR194 Lafayette, LA",GE2,AT&T U-verse
"TR195 Parker, CO",GE2,CenturyLink
"TR200 Baton Rouge, LA",GE1,Cox Business
"TR200 Baton Rouge, LA",GE2,AT&T U-verse
"TR201 Willoughby, OH",GE2,AT&T Internet Services
"TR202 Jacksonville, NC",GE2,CenturyLink
"TR203 Oklahoma City-W, OK",GE1,Cox Business
"TR204 Marana, AZ",GE2,CenturyLink
"TR207 Memphis-NE, TN",GE2,AT&T U-verse
"TR209 Bossier City, LA",GE1,Suddenlink Communications
"TR209 Bossier City, LA",GE2,AT&T Internet Services
"TR211 Omaha, NE",GE1,Cox Business
"TR213 Temple, TX",GE1,Spectrum Business
"TR213 Temple, TX",GE2,AT&T U-verse
"TR215 Victoria, TX",GE2,AT&T Internet Services
"TR216 Albuquerque, NM",GE2,CenturyLink
"TR217 Bedford, TX",GE1,Spectrum Business
